Frequency,Channel A,Channel B
(ms),(mV),(V)

0.00000000,84.35346000,-3.56483700
0.02000000,84.81483000,-3.54176900
0.04000000,85.29157000,-3.51870100
0.06000000,85.75294000,-3.49563200
0.08000000,86.22969000,-3.47225600
0.10000000,86.70644000,-3.44888000
0.12000000,87.18319000,-3.42550500
0.14000000,87.65993000,-3.40151300
0.16000000,88.15206000,-3.37783000
0.18000000,88.64419000,-3.35353100
0.19999999,89.12093000,-3.32892500
0.21999999,89.62844000,-3.30493400
0.23999999,90.15132000,-3.28063500
0.25999999,90.65882000,-3.25602900
0.27999999,91.15096000,-3.23142200
0.29999999,91.64307000,-3.20650800
0.31999999,92.16597000,-3.18128700
0.33999999,92.68885000,-3.15637300
0.35999999,93.21173000,-3.13115100
0.37999999,93.73462000,-3.10562300
0.39999999,94.25750000,-3.07978600
0.41999999,94.79576000,-3.05425700
0.43999999,95.33403000,-3.02811300
0.45999999,95.85691000,-3.00227600
0.47999999,96.37980000,-2.97643900
0.49999999,96.91805000,-2.94968000
0.51999999,97.47169000,-2.92353600
0.53999999,98.02534000,-2.89708400
0.55999999,98.57899000,-2.87032500
0.57999999,99.13262000,-2.84387300
0.59999998,99.68626000,-2.81680600
0.61999998,100.23990000,-2.78973900
0.63999998,100.82430000,-2.76267200
0.65999998,101.39330000,-2.73560500
0.67999998,101.94700000,-2.70823100
0.69999998,102.51600000,-2.68085600
0.71999998,103.10040000,-2.65348200
0.73999998,103.65400000,-2.62549200
0.75999998,104.19230000,-2.59781000
0.77999998,104.77670000,-2.56982000
0.79999998,105.36110000,-2.54213800
0.81999998,105.93010000,-2.51414900
0.83999998,106.49910000,-2.48585100
0.85999998,107.06820000,-2.45786200
0.87999998,107.63720000,-2.42987200
0.89999998,108.20620000,-2.40095900
0.91999998,108.80600000,-2.37235500
0.93999998,109.40570000,-2.34344200
0.95999998,110.00550000,-2.31453000
0.97999998,110.60530000,-2.28592500
0.99999997,111.18970000,-2.25701300
1.01999997,111.78950000,-2.22810100
1.03999997,112.40460000,-2.19888000
1.05999997,112.97370000,-2.16935300
1.07999997,113.60420000,-2.14013300
1.09999997,114.18860000,-2.11060500
1.11999997,114.80380000,-2.08107800
1.13999997,115.43430000,-2.05155000
1.15999997,116.04950000,-2.02171500
1.17999997,116.66460000,-1.99188000
1.19999997,117.27980000,-1.96173700
1.21999997,117.91030000,-1.93190200
1.23999997,118.52550000,-1.90175900
1.25999997,119.15600000,-1.87161700
1.27999997,119.78650000,-1.84178100
1.29999997,120.41710000,-1.81133100
1.31999997,121.06300000,-1.78118800
1.33999997,121.69350000,-1.75104600
1.35999997,122.32410000,-1.72028800
1.37999997,122.95460000,-1.69014500
1.39999996,123.60050000,-1.65938700
1.41999996,124.23100000,-1.62893700
1.43999996,124.86160000,-1.59817900
1.45999996,125.50750000,-1.56711400
1.47999996,126.12270000,-1.53666300
1.49999996,126.76860000,-1.50559800
1.51999996,127.41450000,-1.47484000
1.53999996,128.04500000,-1.44377500
1.55999996,128.67560000,-1.41240100
1.57999996,129.32150000,-1.38164400
1.59999996,129.96740000,-1.35027100
1.61999996,130.61330000,-1.31920500
1.63999996,131.25920000,-1.28814000
1.65999996,131.90510000,-1.25645900
1.67999996,132.55110000,-1.22539400
1.69999996,133.18160000,-1.19402100
1.71999996,133.81210000,-1.16264800
1.73999996,134.45800000,-1.13096700
1.75999996,135.10390000,-1.09990200
1.77999996,135.74990000,-1.06852900
1.79999995,136.39580000,-1.03684800
1.81999995,137.04170000,-1.00578200
1.83999995,137.68760000,-0.97410190
1.85999995,138.34890000,-0.94272880
1.87999995,139.01020000,-0.91135590
1.89999995,139.65610000,-0.87967520
1.91999995,140.28670000,-0.84830220
1.93999995,140.93260000,-0.81662150
1.95999995,141.59390000,-0.78524850
1.97999995,142.22440000,-0.75356790
1.99999995,142.87030000,-0.72219490
2.01999995,143.53160000,-0.69082190
2.03999995,144.17750000,-0.65944880
2.05999995,144.82340000,-0.62838340
2.07999995,145.46940000,-0.59670280
2.09999995,146.14600000,-0.56502220
2.11999995,146.79190000,-0.53395670
2.13999995,147.45320000,-0.50227610
2.15999995,148.09920000,-0.47059550
2.17999994,148.76040000,-0.43891490
2.19999994,149.43710000,-0.40754180
2.21999994,150.09840000,-0.37555360
2.23999994,150.71360000,-0.34418060
2.25999994,151.35950000,-0.31280760
2.27999994,151.99000000,-0.28081940
2.29999994,152.63590000,-0.24913880
2.31999994,153.28190000,-0.21745820
2.33999994,153.92780000,-0.18577760
2.35999994,154.60440000,-0.15440450
2.37999994,155.26570000,-0.12272390
2.39999994,155.89630000,-0.09104331
2.41999994,156.58830000,-0.05905512
2.43999994,157.24960000,-0.02768209
2.45999994,157.91090000,0.00369095
2.47999994,158.55680000,0.03506397
2.49999994,159.20270000,0.06674459
2.51999994,159.84860000,0.09873278
2.53999994,160.49460000,0.13010580
2.55999994,161.15590000,0.16178640
2.57999993,161.80180000,0.19315940
2.59999993,162.44770000,0.22484010
2.61999993,163.09360000,0.25682820
2.63999993,163.73950000,0.28850890
2.65999993,164.38540000,0.32018950
2.67999993,165.03140000,0.35187010
2.69999993,165.67730000,0.38385830
2.71999993,166.32320000,0.41523130
2.73999993,166.96910000,0.44691190
2.75999993,167.59960000,0.47890010
2.77999993,168.24560000,0.51027310
2.79999993,168.89150000,0.54164610
2.81999993,169.52200000,0.57332680
2.83999993,170.18330000,0.60469980
2.85999993,170.84460000,0.63638040
2.87999993,171.49050000,0.66775350
2.89999993,172.15180000,0.69912650
2.91999993,172.79770000,0.73049950
2.93999993,173.42830000,0.76218010
2.95999993,174.05880000,0.79355310
2.97999992,174.68930000,0.82492620
2.99999992,175.33530000,0.85660680
3.01999992,175.96580000,0.88767220
3.03999992,176.61170000,0.91873770
3.05999992,177.24220000,0.94980310
3.07999992,177.90350000,0.98086860
3.09999992,178.53410000,1.01224200
3.11999992,179.19540000,1.04300000
3.13999992,179.82590000,1.07437300
3.15999992,180.48720000,1.10543800
3.17999992,181.13310000,1.13650300
3.19999992,181.76360000,1.16756900
3.21999992,182.39420000,1.19832700
3.23999992,183.00930000,1.22939200
3.25999992,183.62450000,1.26045800
3.27999992,184.25500000,1.29152300
3.29999992,184.87020000,1.32228100
3.31999992,185.48530000,1.35273100
3.33999992,186.11590000,1.38379700
