Frequency,Channel A,Channel B
(ms),(mV),(V)

0.00000000,267.96260000,5.13902600
0.02000000,267.96260000,5.13902600
0.04000000,267.96260000,5.13902600
0.06000000,267.96260000,5.21807300
0.08000000,267.96260000,5.21807300
0.10000000,267.96260000,5.21807300
0.12000000,267.96260000,5.21807300
0.14000000,271.89960000,5.21807300
0.16000000,267.96260000,5.21807300
0.18000000,271.89960000,5.21807300
0.19999999,267.96260000,5.29712100
0.21999999,271.89960000,5.21807300
0.23999999,271.89960000,5.29712100
0.25999999,267.96260000,5.29712100
0.27999999,271.89960000,5.29712100
0.29999999,271.89960000,5.29712100
0.31999999,271.89960000,5.29712100
0.33999999,267.96260000,5.29712100
0.35999999,264.02560000,5.29712100
0.37999999,271.89960000,5.29712100
0.39999999,271.89960000,5.29712100
0.41999999,271.89960000,5.29712100
0.43999999,271.89960000,5.29712100
0.45999999,267.96260000,5.29712100
0.47999999,267.96260000,5.29712100
0.49999999,271.89960000,5.37616800
0.51999999,267.96260000,5.37616800
0.53999999,271.89960000,5.37616800
0.55999999,275.83660000,5.37616800
0.57999999,267.96260000,5.37616800
0.59999998,271.89960000,5.37616800
0.61999998,271.89960000,5.37616800
0.63999998,275.83660000,5.37616800
0.65999998,271.89960000,5.37616800
0.67999998,271.89960000,5.37616800
0.69999998,271.89960000,5.37616800
0.71999998,271.89960000,5.37616800
0.73999998,267.96260000,5.37616800
0.75999998,267.96260000,5.37616800
0.77999998,267.96260000,5.37616800
0.79999998,267.96260000,5.37616800
0.81999998,267.96260000,5.37616800
0.83999998,267.96260000,5.37616800
0.85999998,271.89960000,5.37616800
0.87999998,267.96260000,5.37616800
0.89999998,267.96260000,5.37616800
0.91999998,267.96260000,5.37616800
0.93999998,267.96260000,5.37616800
0.95999998,271.89960000,5.37616800
0.97999998,271.89960000,5.45521700
0.99999997,271.89960000,5.45521700
1.01999997,271.89960000,5.45521700
1.03999997,271.89960000,5.45521700
1.05999997,271.89960000,5.45521700
1.07999997,271.89960000,5.37616800
1.09999997,271.89960000,5.37616800
1.11999997,271.89960000,5.37616800
1.13999997,271.89960000,5.45521700
1.15999997,267.96260000,5.37616800
1.17999997,271.89960000,5.45521700
1.19999997,271.89960000,5.45521700
1.21999997,275.83660000,5.45521700
1.23999997,275.83660000,5.45521700
1.25999997,267.96260000,5.45521700
1.27999997,267.96260000,5.37616800
1.29999997,271.89960000,5.45521700
1.31999997,275.83660000,5.45521700
1.33999997,275.83660000,5.45521700
1.35999997,271.89960000,5.45521700
1.37999997,271.89960000,5.45521700
1.39999996,271.89960000,5.45521700
1.41999996,271.89960000,5.45521700
1.43999996,271.89960000,5.45521700
1.45999996,271.89960000,5.45521700
1.47999996,271.89960000,5.45521700
1.49999996,271.89960000,5.45521700
1.51999996,271.89960000,5.45521700
1.53999996,271.89960000,5.53426500
1.55999996,271.89960000,5.45521700
1.57999996,271.89960000,5.45521700
1.59999996,271.89960000,5.45521700
1.61999996,271.89960000,5.37616800
1.63999996,271.89960000,5.45521700
1.65999996,271.89960000,5.45521700
1.67999996,271.89960000,5.45521700
1.69999996,275.83660000,5.45521700
1.71999996,275.83660000,5.45521700
1.73999996,267.96260000,5.45521700
1.75999996,271.89960000,5.45521700
1.77999996,271.89960000,5.45521700
1.79999995,275.83660000,5.45521700
1.81999995,275.83660000,5.45521700
1.83999995,271.89960000,5.45521700
1.85999995,271.89960000,5.45521700
1.87999995,271.89960000,5.45521700
1.89999995,271.89960000,5.37616800
1.91999995,271.89960000,5.37616800
1.93999995,271.89960000,5.37616800
1.95999995,271.89960000,5.37616800
1.97999995,271.89960000,5.37616800
1.99999995,271.89960000,5.37616800
2.01999995,271.89960000,5.37616800
2.03999995,271.89960000,5.37616800
2.05999995,271.89960000,5.37616800
2.07999995,271.89960000,5.37616800
2.09999995,271.89960000,5.29712100
2.11999995,271.89960000,5.29712100
2.13999995,271.89960000,5.29712100
2.15999995,275.83660000,5.29712100
2.17999994,267.96260000,5.29712100
2.19999994,271.89960000,5.29712100
2.21999994,271.89960000,5.29712100
2.23999994,271.89960000,5.29712100
2.25999994,271.89960000,5.21807300
2.27999994,267.96260000,5.29712100
2.29999994,271.89960000,5.29712100
2.31999994,267.96260000,5.21807300
2.33999994,267.96260000,5.29712100
2.35999994,267.96260000,5.21807300
2.37999994,267.96260000,5.21807300
2.39999994,267.96260000,5.21807300
2.41999994,271.89960000,5.21807300
2.43999994,267.96260000,5.21807300
2.45999994,271.89960000,5.21807300
2.47999994,264.02560000,5.21807300
2.49999994,267.96260000,5.13902600
2.51999994,271.89960000,5.13902600
2.53999994,267.96260000,5.13902600
2.55999994,267.96260000,5.13902600
2.57999993,267.96260000,5.05997800
2.59999993,267.96260000,5.05997800
2.61999993,267.96260000,5.05997800
2.63999993,267.96260000,5.05997800
2.65999993,264.02560000,5.05997800
2.67999993,267.96260000,4.98093000
2.69999993,264.02560000,5.05997800
2.71999993,267.96260000,4.98093000
2.73999993,264.02560000,5.05997800
2.75999993,267.96260000,4.98093000
2.77999993,264.02560000,4.98093000
2.79999993,264.02560000,4.90188200
2.81999993,264.02560000,4.90188200
2.83999993,267.96260000,4.90188200
2.85999993,264.02560000,4.90188200
2.87999993,260.07320000,4.90188200
2.89999993,264.02560000,4.90188200
2.91999993,260.07320000,4.82283500
2.93999993,267.96260000,4.82283500
2.95999993,264.02560000,4.82283500
2.97999992,264.02560000,4.74378700
2.99999992,260.07320000,4.82283500
3.01999992,260.07320000,4.74378700
3.03999992,260.07320000,4.74378700
3.05999992,260.07320000,4.66473900
3.07999992,260.07320000,4.66473900
3.09999992,260.07320000,4.66473900
3.11999992,260.07320000,4.58569100
3.13999992,256.13620000,4.58569100
3.15999992,248.26210000,4.58569100
3.17999992,260.07320000,4.58569100
3.19999992,260.07320000,4.50664400
3.21999992,260.07320000,4.58569100
3.23999992,256.13620000,4.50664400
3.25999992,256.13620000,4.50664400
3.27999992,256.13620000,4.50664400
3.29999992,256.13620000,4.42759600
3.31999992,252.19920000,4.42759600
3.33999992,252.19920000,4.42759600
3.35999992,252.19920000,4.34854800
3.37999991,252.19920000,4.34854800
3.39999991,252.19920000,4.34854800
3.41999991,256.13620000,4.34854800
3.43999991,252.19920000,4.34854800
3.45999991,252.19920000,4.26919300
