Frequency,Channel A,Channel B
(ms),(mV),(V)

0.00000000,441.36010000,5.13902600
0.02000000,449.23410000,5.13902600
0.04000000,445.29710000,5.13902600
0.06000000,449.23410000,5.13902600
0.08000000,445.29710000,5.21807300
0.10000000,445.29710000,5.29712100
0.12000000,453.17110000,5.21807300
0.14000000,445.29710000,5.29712100
0.16000000,449.23410000,5.21807300
0.18000000,449.23410000,5.29712100
0.19999999,449.23410000,5.29712100
0.21999999,449.23410000,5.29712100
0.23999999,449.23410000,5.29712100
0.25999999,453.17110000,5.29712100
0.27999999,453.17110000,5.37616800
0.29999999,449.23410000,5.37616800
0.31999999,453.17110000,5.37616800
0.33999999,461.06050000,5.37616800
0.35999999,449.23410000,5.37616800
0.37999999,453.17110000,5.45521700
0.39999999,453.17110000,5.45521700
0.41999999,457.12350000,5.45521700
0.43999999,453.17110000,5.45521700
0.45999999,453.17110000,5.45521700
0.47999999,453.17110000,5.45521700
0.49999999,449.23410000,5.45521700
0.51999999,461.06050000,5.53426500
0.53999999,457.12350000,5.53426500
0.55999999,453.17110000,5.45521700
0.57999999,457.12350000,5.45521700
0.59999998,453.17110000,5.53426500
0.61999998,457.12350000,5.53426500
0.63999998,461.06050000,5.53426500
0.65999998,461.06050000,5.53426500
0.67999998,457.12350000,5.53426500
0.69999998,457.12350000,5.61331200
0.71999998,461.06050000,5.53426500
0.73999998,457.12350000,5.53426500
0.75999998,457.12350000,5.53426500
0.77999998,457.12350000,5.53426500
0.79999998,457.12350000,5.61331200
0.81999998,457.12350000,5.61331200
0.83999998,461.06050000,5.53426500
0.85999998,461.06050000,5.53426500
0.87999998,457.12350000,5.61331200
0.89999998,461.06050000,5.61331200
0.91999998,461.06050000,5.61331200
0.93999998,461.06050000,5.61331200
0.95999998,457.12350000,5.61331200
0.97999998,457.12350000,5.61331200
0.99999997,457.12350000,5.61331200
1.01999997,461.06050000,5.61331200
1.03999997,457.12350000,5.61331200
1.05999997,461.06050000,5.61331200
1.07999997,457.12350000,5.61331200
1.09999997,461.06050000,5.61331200
1.11999997,461.06050000,5.69236000
1.13999997,457.12350000,5.61331200
1.15999997,453.17110000,5.69236000
1.17999997,457.12350000,5.61331200
1.19999997,457.12350000,5.61331200
1.21999997,457.12350000,5.69236000
1.23999997,461.06050000,5.69236000
1.25999997,461.06050000,5.61331200
1.27999997,461.06050000,5.69236000
1.29999997,457.12350000,5.69236000
1.31999997,457.12350000,5.61331200
1.33999997,461.06050000,5.69236000
1.35999997,461.06050000,5.69236000
1.37999997,461.06050000,5.69236000
1.39999996,464.99750000,5.69236000
1.41999996,461.06050000,5.69236000
1.43999996,461.06050000,5.69236000
1.45999996,464.99750000,5.69236000
1.47999996,457.12350000,5.69236000
1.49999996,457.12350000,5.69236000
1.51999996,461.06050000,5.69236000
1.53999996,461.06050000,5.69236000
1.55999996,461.06050000,5.69236000
1.57999996,464.99750000,5.69236000
1.59999996,457.12350000,5.69236000
1.61999996,464.99750000,5.69236000
1.63999996,461.06050000,5.69236000
1.65999996,461.06050000,5.69236000
1.67999996,457.12350000,5.69236000
1.69999996,461.06050000,5.77140800
1.71999996,457.12350000,5.69236000
1.73999996,457.12350000,5.69236000
1.75999996,464.99750000,5.69236000
1.77999996,461.06050000,5.69236000
1.79999995,461.06050000,5.69236000
1.81999995,461.06050000,5.69236000
1.83999995,457.12350000,5.69236000
1.85999995,461.06050000,5.69236000
1.87999995,457.12350000,5.77140800
1.89999995,461.06050000,5.69236000
1.91999995,461.06050000,5.77140800
1.93999995,461.06050000,5.69236000
1.95999995,457.12350000,5.77140800
1.97999995,461.06050000,5.69236000
1.99999995,461.06050000,5.69236000
2.01999995,464.99750000,5.77140800
2.03999995,461.06050000,5.69236000
2.05999995,457.12350000,5.69236000
2.07999995,461.06050000,5.69236000
2.09999995,461.06050000,5.69236000
2.11999995,461.06050000,5.69236000
2.13999995,464.99750000,5.69236000
2.15999995,461.06050000,5.69236000
2.17999994,461.06050000,5.69236000
2.19999994,461.06050000,5.69236000
2.21999994,461.06050000,5.69236000
2.23999994,461.06050000,5.69236000
2.25999994,457.12350000,5.69236000
2.27999994,461.06050000,5.69236000
2.29999994,461.06050000,5.69236000
2.31999994,457.12350000,5.61331200
2.33999994,457.12350000,5.61331200
2.35999994,457.12350000,5.61331200
2.37999994,457.12350000,5.61331200
2.39999994,457.12350000,5.61331200
2.41999994,457.12350000,5.61331200
2.43999994,453.17110000,5.61331200
2.45999994,457.12350000,5.61331200
2.47999994,457.12350000,5.61331200
2.49999994,457.12350000,5.53426500
2.51999994,461.06050000,5.53426500
2.53999994,457.12350000,5.53426500
2.55999994,457.12350000,5.53426500
2.57999993,453.17110000,5.53426500
2.59999993,453.17110000,5.53426500
2.61999993,457.12350000,5.53426500
2.63999993,453.17110000,5.53426500
2.65999993,453.17110000,5.53426500
2.67999993,453.17110000,5.45521700
2.69999993,449.23410000,5.45521700
2.71999993,449.23410000,5.45521700
2.73999993,453.17110000,5.45521700
2.75999993,453.17110000,5.45521700
2.77999993,449.23410000,5.45521700
2.79999993,453.17110000,5.37616800
2.81999993,453.17110000,5.37616800
2.83999993,449.23410000,5.37616800
2.85999993,449.23410000,5.37616800
2.87999993,449.23410000,5.37616800
2.89999993,453.17110000,5.37616800
2.91999993,449.23410000,5.37616800
2.93999993,453.17110000,5.29712100
2.95999993,449.23410000,5.29712100
2.97999992,449.23410000,5.29712100
2.99999992,449.23410000,5.29712100
3.01999992,449.23410000,5.21807300
3.03999992,449.23410000,5.21807300
3.05999992,445.29710000,5.21807300
3.07999992,445.29710000,5.21807300
3.09999992,449.23410000,5.21807300
3.11999992,445.29710000,5.21807300
3.13999992,445.29710000,5.21807300
3.15999992,441.36010000,5.13902600
3.17999992,445.29710000,5.05997800
3.19999992,445.29710000,5.13902600
3.21999992,441.36010000,5.05997800
3.23999992,441.36010000,5.13902600
3.25999992,441.36010000,5.05997800
3.27999992,441.36010000,5.05997800
3.29999992,441.36010000,4.98093000
3.31999992,437.40770000,4.98093000
3.33999992,437.40770000,4.98093000
3.35999992,437.40770000,4.98093000
3.37999991,437.40770000,4.90188200
3.39999991,437.40770000,4.90188200
3.41999991,437.40770000,4.90188200
3.43999991,437.40770000,4.90188200
3.45999991,437.40770000,4.82283500
