Time,Channel A,Channel B
(ms),(V),(V)

0.00000000,1.29287600,0.55333420
0.02000000,1.27712800,0.47428640
0.04000000,1.26138000,0.47428640
0.06000000,1.26138000,0.47428640
0.08000000,1.24557100,0.47428640
0.10000000,1.22982300,0.47428640
0.12000000,1.21407500,0.47428640
0.14000000,1.19826500,0.39523870
0.16000000,1.19826500,0.39523870
0.18000000,1.18251700,0.31619100
0.19999999,1.16676900,0.31619100
0.21999999,1.15096000,0.31619100
0.23999999,1.15096000,0.23714320
0.25999999,1.11946400,0.23714320
0.27999999,1.11946400,0.23714320
0.29999999,1.10365400,0.23714320
0.31999999,1.08790600,0.15809550
0.33999999,1.07215800,0.15809550
0.35999999,1.05634800,0.15809550
0.37999999,1.04060000,0.07904774
0.39999999,1.04060000,0.15809550
0.41999999,1.02485200,0.07904774
0.43999999,1.00910400,0.07904774
0.45999999,0.99329480,0.07904774
0.47999999,0.97754670,0.00000000
0.49999999,0.96179870,0.00000000
0.51999999,0.94598920,0.00000000
0.53999999,0.93024110,-0.07904774
0.55999999,0.91449310,-0.07904774
0.57999999,0.89868360,-0.07904774
0.59999998,0.88293550,-0.15809550
0.61999998,0.86718750,-0.15809550
0.63999998,0.85137790,-0.15809550
0.65999998,0.85137790,-0.15809550
0.67999998,0.81988190,-0.23714320
0.69999998,0.80407230,-0.23714320
0.71999998,0.80407230,-0.23714320
0.73999998,0.78832440,-0.31619100
0.75999998,0.75682820,-0.31619100
0.77999998,0.74101870,-0.31619100
0.79999998,0.72527060,-0.39523870
0.81999998,0.70952270,-0.39523870
0.83999998,0.69371310,-0.39523870
0.85999998,0.67796500,-0.39523870
0.87999998,0.66221700,-0.47428640
0.89999998,0.64640750,-0.47428640
0.91999998,0.63065950,-0.55333420
0.93999998,0.61491140,-0.55333420
0.95999998,0.59910180,-0.55333420
0.97999998,0.58335380,-0.63238190
0.99999997,0.56760580,-0.63238190
1.01999997,0.55179630,-0.63238190
1.03999997,0.53604820,-0.63238190
1.05999997,0.52030020,-0.71142970
1.07999997,0.50455220,-0.71142970
1.09999997,0.48874260,-0.71142970
1.11999997,0.47299460,-0.79047740
1.13999997,0.45724660,-0.79047740
1.15999997,0.44143700,-0.79047740
1.17999997,0.42568900,-0.86952510
1.19999997,0.39413140,-0.86952510
1.21999997,0.37838340,-0.86952510
1.23999997,0.36263530,-0.94857280
1.25999997,0.34682580,-0.94857280
1.27999997,0.33107780,-0.94857280
1.29999997,0.31532970,-1.02762100
1.31999997,0.29952020,-1.02762100
1.33999997,0.28377210,-1.02762100
1.35999997,0.26802410,-1.10666800
1.37999997,0.25227610,-1.10666800
1.39999996,0.22071850,-1.18571600
1.41999996,0.20497050,-1.10666800
1.43999996,0.18916090,-1.18571600
1.45999996,0.17341290,-1.18571600
1.47999996,0.15766490,-1.26476400
1.49999996,0.12610730,-1.26476400
1.51999996,0.12610730,-1.26476400
1.53999996,0.11035930,-1.34381200
1.55999996,0.07880167,-1.34381200
1.57999996,0.06305364,-1.34381200
1.59999996,0.04724409,-1.34381200
1.61999996,0.03149606,-1.42285900
1.63999996,0.01574803,-1.50221500
1.65999996,0.00000000,-1.42285900
1.67999996,-0.01574803,-1.50221500
1.69999996,-0.03149606,-1.50221500
1.71999996,-0.04724409,-1.50221500
1.73999996,-0.06305364,-1.50221500
1.75999996,-0.09454970,-1.58126200
1.77999996,-0.09454970,-1.58126200
1.79999995,-0.12610730,-1.58126200
1.81999995,-0.14185530,-1.58126200
1.83999995,-0.15766490,-1.66031000
1.85999995,-0.17341290,-1.66031000
1.87999995,-0.18916090,-1.73935800
1.89999995,-0.20497050,-1.73935800
1.91999995,-0.22071850,-1.73935800
1.93999995,-0.23646650,-1.81840600
1.95999995,-0.25227610,-1.73935800
1.97999995,-0.26802410,-1.81840600
1.99999995,-0.28377210,-1.81840600
2.01999995,-0.29952020,-1.89745300
2.03999995,-0.33107780,-1.89745300
2.05999995,-0.34682580,-1.97650100
2.07999995,-0.36263530,-1.97650100
2.09999995,-0.36263530,-1.97650100
2.11999995,-0.39413140,-1.97650100
2.13999995,-0.40994090,-2.05554900
2.15999995,-0.42568900,-2.05554900
2.17999994,-0.44143700,-2.05554900
2.19999994,-0.45724660,-2.13459600
2.21999994,-0.47299460,-2.13459600
2.23999994,-0.48874260,-2.13459600
2.25999994,-0.50455220,-2.21364400
2.27999994,-0.52030020,-2.21364400
2.29999994,-0.53604820,-2.29269200
2.31999994,-0.55179630,-2.29269200
2.33999994,-0.58335380,-2.29269200
2.35999994,-0.58335380,-2.37174000
