Frequency,Channel A,Channel B
(ms),(V),(V)

0.00000000,0.82732530,5.13902600
0.02000000,0.82732530,5.13902600
0.04000000,0.82732530,5.05997800
0.06000000,0.82732530,5.05997800
0.08000000,0.82732530,5.05997800
0.10000000,0.82732530,5.05997800
0.12000000,0.82732530,5.05997800
0.14000000,0.81945130,4.98093000
0.16000000,0.81945130,4.98093000
0.18000000,0.81945130,4.98093000
0.19999999,0.81945130,4.98093000
0.21999999,0.81945130,4.98093000
0.23999999,0.81945130,4.90188200
0.25999999,0.81945130,4.90188200
0.27999999,0.81945130,4.90188200
0.29999999,0.81157730,4.82283500
0.31999999,0.81945130,4.82283500
0.33999999,0.81157730,4.82283500
0.35999999,0.81157730,4.74378700
0.37999999,0.81157730,4.74378700
0.39999999,0.81157730,4.74378700
0.41999999,0.81157730,4.74378700
0.43999999,0.80370320,4.66473900
0.45999999,0.81157730,4.66473900
0.47999999,0.81157730,4.66473900
0.49999999,0.80370320,4.66473900
0.51999999,0.80370320,4.58569100
0.53999999,0.80370320,4.58569100
0.55999999,0.80370320,4.58569100
0.57999999,0.81157730,4.50664400
0.59999998,0.79582920,4.42759600
0.61999998,0.80370320,4.42759600
0.63999998,0.80370320,4.42759600
0.65999998,0.80370320,4.42759600
0.67999998,0.80370320,4.34854800
0.69999998,0.80370320,4.34854800
0.71999998,0.79582920,4.34854800
0.73999998,0.79582920,4.34854800
0.75999998,0.80370320,4.26919300
0.77999998,0.79582920,4.26919300
0.79999998,0.79582920,4.26919300
0.81999998,0.79582920,4.19014500
0.83999998,0.78792450,4.19014500
0.85999998,0.79582920,4.19014500
0.87999998,0.79582920,4.11109700
0.89999998,0.78792450,4.11109700
0.91999998,0.78792450,4.03205000
0.93999998,0.78792450,4.03205000
0.95999998,0.78792450,4.03205000
0.97999998,0.78792450,3.95300200
0.99999997,0.78005050,3.95300200
1.01999997,0.78005050,3.95300200
1.03999997,0.78005050,3.87395400
1.05999997,0.78005050,3.87395400
1.07999997,0.78005050,3.87395400
1.09999997,0.78005050,3.79490600
1.11999997,0.77217640,3.71585900
1.13999997,0.77217640,3.79490600
1.15999997,0.77217640,3.71585900
1.17999997,0.77217640,3.71585900
1.19999997,0.77217640,3.71585900
1.21999997,0.76430240,3.63681100
1.23999997,0.77217640,3.63681100
1.25999997,0.76430240,3.55776300
1.27999997,0.76430240,3.55776300
1.29999997,0.76430240,3.47871500
1.31999997,0.76430240,3.47871500
1.33999997,0.76430240,3.47871500
1.35999997,0.76430240,3.39966800
1.37999997,0.76430240,3.39966800
1.39999996,0.75642840,3.32062000
1.41999996,0.75642840,3.32062000
1.43999996,0.75642840,3.24157200
1.45999996,0.75642840,3.24157200
1.47999996,0.75642840,3.24157200
1.49999996,0.75642840,3.16252500
1.51999996,0.75642840,3.16252500
1.53999996,0.74855440,3.16252500
1.55999996,0.74855440,3.16252500
1.57999996,0.74855440,3.08347700
1.59999996,0.74064960,3.08347700
1.61999996,0.74855440,3.00442900
1.63999996,0.74064960,3.00442900
1.65999996,0.74064960,2.92538100
1.67999996,0.74064960,2.92538100
1.69999996,0.74064960,2.92538100
1.71999996,0.74064960,2.92538100
1.73999996,0.73277560,2.84602600
1.75999996,0.73277560,2.84602600
1.77999996,0.73277560,2.84602600
1.79999995,0.73277560,2.76697900
1.81999995,0.73277560,2.76697900
1.83999995,0.73277560,2.76697900
1.85999995,0.73277560,2.76697900
1.87999995,0.72490160,2.68793100
1.89999995,0.72490160,2.68793100
1.91999995,0.72490160,2.60888300
1.93999995,0.72490160,2.60888300
1.95999995,0.72490160,2.60888300
1.97999995,0.72490160,2.60888300
1.99999995,0.72490160,2.52983500
2.01999995,0.71702750,2.52983500
2.03999995,0.72490160,2.45078800
2.05999995,0.71702750,2.45078800
2.07999995,0.72490160,2.45078800
2.09999995,0.71702750,2.37174000
2.11999995,0.71702750,2.45078800
2.13999995,0.71702750,2.37174000
2.15999995,0.70915350,2.37174000
2.17999994,0.71702750,2.29269200
2.19999994,0.70915350,2.29269200
2.21999994,0.70915350,2.29269200
2.23999994,0.70915350,2.21364400
2.25999994,0.70915350,2.21364400
2.27999994,0.70915350,2.21364400
2.29999994,0.70915350,2.13459600
2.31999994,0.70124880,2.13459600
2.33999994,0.70124880,2.05554900
2.35999994,0.70124880,2.05554900
2.37999994,0.69337480,2.05554900
2.39999994,0.69337480,1.97650100
2.41999994,0.69337480,1.89745300
2.43999994,0.69337480,1.89745300
2.45999994,0.69337480,1.89745300
2.47999994,0.69337480,1.89745300
2.49999994,0.68550070,1.81840600
